,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
60,Airai,-8.93,125.41,70.74,66,51,5.06,TL,07/16/2020
61,Grand Island,40.92,-98.34,75.2,69,1,4.7,US,07/16/2020
62,Denpasar,-8.65,115.22,82.4,78,40,18.34,ID,07/16/2020
63,Arman',59.7,150.17,60.44,78,47,8.1,RU,07/16/2020
64,Yumen,40.28,97.2,79.97,17,11,6.33,CN,07/16/2020
65,San Patricio,19.22,-104.7,82.4,74,75,4.83,MX,07/16/2020
66,Ulaangom,49.98,92.07,66.74,38,32,6.15,MN,07/16/2020
67,East London,-33.02,27.91,54.19,41,11,6.11,ZA,07/16/2020
68,Castro,-24.79,-50.01,49.33,94,50,9.48,BR,07/16/2020
69,Nieuw Amsterdam,5.88,-55.08,78.01,94,2,7.16,SR,07/16/2020
70,Cape Town,-33.93,18.42,48.99,87,0,1.12,ZA,07/16/2020
71,Carnarvon,-24.87,113.63,75.2,50,75,11.41,AU,07/16/2020
72,Los Llanos de Aridane,28.66,-17.92,69.8,77,75,11.41,ES,07/16/2020
73,Adra,36.75,-3.02,80.6,42,0,4.7,ES,07/16/2020
74,Kalmunai,7.42,81.82,83.32,72,100,6.49,LK,07/16/2020
75,Mahibadhoo,3.78,72.97,83.97,75,100,9.62,MV,07/16/2020
76,Puerto Ayora,-0.74,-90.35,66.99,89,95,4.99,EC,07/16/2020
77,Bria,6.54,21.99,67.64,95,100,1.68,CF,07/16/2020
78,Richards Bay,-28.78,32.04,53.17,73,8,5.77,ZA,07/16/2020
79,Hobart,-42.88,147.33,52.0,71,75,3.36,AU,07/16/2020
80,Tabuk,17.42,121.44,87.4,66,2,6.69,PH,07/16/2020
81,Atar,20.52,-13.05,86.61,27,0,6.98,MR,07/16/2020
82,Huari,-9.33,-77.23,36.86,96,38,3.42,PE,07/16/2020
83,Port Alfred,-33.59,26.89,52.56,44,0,5.5,ZA,07/16/2020
84,Mushie,-3.02,16.9,74.5,77,92,2.35,CD,07/16/2020
85,George Town,5.41,100.34,86.0,83,20,4.7,MY,07/16/2020
86,Tasiilaq,65.61,-37.64,42.8,75,0,1.12,GL,07/16/2020
87,Dodge City,37.75,-100.02,73.4,88,1,4.7,US,07/16/2020
88,Innisfail,-17.53,146.03,70.0,30,0,5.01,AU,07/16/2020
89,Iqaluit,63.75,-68.51,60.8,36,20,2.24,CA,07/16/2020
90,Alès,44.13,4.08,68.0,55,0,9.17,FR,07/16/2020
91,Ushtobe,45.25,77.98,85.69,22,0,7.36,KZ,07/16/2020
92,Aklavik,68.22,-135.01,66.2,55,75,6.93,CA,07/16/2020
93,Staraya Mayna,54.6,48.95,64.4,77,95,6.71,RU,07/16/2020
94,San Rafael,-34.62,-68.33,47.91,56,0,4.45,AR,07/16/2020
95,Taoudenni,22.68,-3.98,94.28,29,0,9.89,ML,07/16/2020
96,Tiksi,71.69,128.87,36.63,84,73,19.22,RU,07/16/2020
97,Narsaq,60.92,-46.05,46.4,75,0,5.82,GL,07/16/2020
98,Isangel,-19.55,169.27,80.6,74,20,5.82,VU,07/16/2020
99,Chokurdakh,70.63,147.92,37.89,92,100,12.19,RU,07/16/2020
100,Avila,40.58,-5.0,59.0,61,38,1.81,ES,07/16/2020
101,Sarangani,5.4,125.46,82.69,79,65,17.0,PH,07/16/2020
102,Buala,-8.14,159.59,81.5,73,100,9.75,SB,07/16/2020
103,Kyren,51.68,102.14,59.9,57,63,6.22,RU,07/16/2020
104,Grand Gaube,-20.01,57.66,68.0,88,75,2.24,MU,07/16/2020
105,Tiznit Province,29.58,-9.5,76.8,46,0,0.92,MA,07/16/2020
106,Samarai,-10.62,150.67,77.74,87,72,16.98,PG,07/16/2020
107,Upernavik,72.79,-56.15,42.31,89,52,1.07,GL,07/16/2020
108,Dhidhdhoo,6.88,73.1,83.66,79,100,15.77,MV,07/16/2020
109,Cidreira,-30.18,-50.21,50.23,66,0,7.85,BR,07/16/2020
110,Nanortalik,60.14,-45.24,42.31,88,7,6.24,GL,07/16/2020
111,Nabire,-3.37,135.48,84.4,69,22,4.88,ID,07/16/2020
112,Kaitangata,-46.28,169.85,46.99,82,39,13.0,NZ,07/16/2020
113,Vallenar,-28.57,-70.76,57.16,51,0,1.07,CL,07/16/2020
114,Verkhnevilyuysk,63.45,120.32,84.63,44,75,5.59,RU,07/16/2020
115,Adeje,28.12,-16.73,73.99,83,20,14.99,ES,07/16/2020
116,Klamath Falls,42.22,-121.78,89.6,36,1,12.75,US,07/16/2020
117,Saint Paul Harbor,57.79,-152.41,75.2,38,75,4.7,US,07/16/2020
118,Atambua,-9.11,124.89,82.6,52,64,3.74,ID,07/16/2020
119,Katsuura,35.13,140.3,73.99,83,75,4.7,JP,07/16/2020
120,North Bend,43.41,-124.22,75.99,93,90,23.04,US,07/16/2020
121,Császár,47.5,18.14,64.4,72,72,9.17,HU,07/16/2020
122,Saint-Joseph,-21.37,55.62,64.4,72,25,5.82,RE,07/16/2020
123,Puli,23.97,120.97,89.01,70,75,14.99,TW,07/16/2020
124,Vila,42.03,-8.16,62.01,82,6,1.99,PT,07/16/2020
125,Slave Lake,55.28,-114.77,66.2,63,20,8.05,CA,07/16/2020
126,Aktau,43.65,51.2,83.61,54,47,16.04,KZ,07/16/2020
127,Santa Cruz de la Sierra,-17.8,-63.17,66.2,88,40,3.36,BO,07/16/2020
128,Wamba,8.93,8.6,71.04,97,100,1.07,NG,07/16/2020
129,Lebu,-37.62,-73.65,51.17,90,100,3.85,CL,07/16/2020
130,Port Elizabeth,-33.92,25.57,44.6,75,1,6.93,ZA,07/16/2020
131,Meulaboh,4.14,96.13,83.46,78,62,3.44,ID,07/16/2020
132,Tuatapere,-46.13,167.68,43.34,71,21,3.29,NZ,07/16/2020
133,Lermontovka,47.15,134.34,80.92,55,25,8.34,RU,07/16/2020
134,Resistencia,-27.46,-58.98,57.2,58,98,4.7,AR,07/16/2020
135,Yellowknife,62.46,-114.35,64.4,59,20,10.29,CA,07/16/2020
136,Faanui,-16.48,-151.75,78.31,84,34,15.64,PF,07/16/2020
137,Bulungu,-4.55,18.6,72.99,75,93,1.21,CD,07/16/2020
138,Hervey Bay,-25.3,152.85,68.0,36,0,8.99,AU,07/16/2020
139,Pevek,69.7,170.31,44.85,96,100,2.75,RU,07/16/2020
140,Ocampo,21.65,-101.5,63.16,72,37,11.41,MX,07/16/2020
141,Poronaysk,49.22,143.12,61.14,84,23,16.73,RU,07/16/2020
142,Raja,8.46,25.68,69.4,90,100,2.8,SS,07/16/2020
143,Klaksvík,62.23,-6.59,50.0,100,100,16.11,FO,07/16/2020
144,Gurupi,-11.73,-49.07,72.68,39,0,4.16,BR,07/16/2020
145,Qaqortoq,60.72,-46.03,46.4,75,1,5.82,GL,07/16/2020
146,Kapaa,22.08,-159.32,82.4,74,75,11.41,US,07/16/2020
147,Broken Hill,-31.95,141.43,59.0,32,0,8.05,AU,07/16/2020
148,Cherskiy,68.75,161.3,43.23,77,98,7.16,RU,07/16/2020
149,Bethel,41.37,-73.41,69.01,93,88,5.32,US,07/16/2020
150,Port-Gentil,-0.72,8.78,73.69,80,100,7.83,GA,07/16/2020
151,Robertsport,6.75,-11.37,76.08,79,79,13.98,LR,07/16/2020
152,Hong Kong,22.29,114.16,91.0,75,74,11.01,HK,07/16/2020
153,Camopi,3.17,-52.32,71.1,96,7,2.35,GF,07/16/2020
154,Vostok,46.49,135.88,77.2,52,99,5.21,RU,07/16/2020
155,Mar del Plata,-38.0,-57.56,46.0,67,0,8.05,AR,07/16/2020
156,Bluff,-46.6,168.33,46.0,76,26,14.88,NZ,07/16/2020
157,Salalah,17.02,54.09,80.6,94,90,4.7,OM,07/16/2020
158,Khatanga,71.97,102.5,53.17,92,100,9.64,RU,07/16/2020
159,Viedma,-40.81,-63.0,44.47,69,99,7.16,AR,07/16/2020
160,Codrington,-38.27,141.97,54.61,67,0,4.27,AU,07/16/2020
161,Sakakah,29.97,40.21,89.6,15,0,9.17,SA,07/16/2020
162,Bone,51.97,12.14,55.99,96,53,4.41,DE,07/16/2020
163,Qaanaaq,77.48,-69.36,41.54,85,100,6.35,GL,07/16/2020
164,Abū Zabad,12.35,29.25,76.15,78,100,9.73,SD,07/16/2020
165,Ipixuna,-1.76,-48.8,75.2,94,40,6.93,BR,07/16/2020
166,Saldanha,-33.01,17.94,42.8,75,0,4.7,ZA,07/16/2020
167,São Filipe,14.9,-24.5,75.81,83,58,8.97,CV,07/16/2020
168,Turriff,57.54,-2.46,55.0,28,100,1.01,GB,07/16/2020
169,Nelson Bay,-32.72,152.15,59.0,54,75,14.99,AU,07/16/2020
170,Saint-Pierre,-21.34,55.48,64.4,72,20,5.82,RE,07/16/2020
171,Onguday,50.75,86.15,66.36,65,99,0.63,RU,07/16/2020
172,Aden,12.78,45.04,86.02,76,100,2.37,YE,07/16/2020
173,Lufilufi,-13.87,-171.6,78.8,94,90,5.82,WS,07/16/2020
174,Turtas,58.94,69.13,79.47,66,98,6.89,RU,07/16/2020
175,Srednekolymsk,67.45,153.68,50.38,52,100,6.06,RU,07/16/2020
176,Hithadhoo,-0.6,73.08,83.5,71,84,2.51,MV,07/16/2020
177,Linden,6.0,-58.3,78.8,94,20,4.7,GY,07/16/2020
178,Butaritari,3.07,172.79,83.12,67,100,9.37,KI,07/16/2020
179,Beringovskiy,63.05,179.32,55.53,74,0,5.35,RU,07/16/2020
180,Ryōtsu-minato,38.08,138.43,73.4,83,75,5.82,JP,07/16/2020
181,Tuktoyaktuk,69.45,-133.04,59.0,58,75,10.29,CA,07/16/2020
182,Havøysund,71.0,24.66,55.4,82,83,5.82,NO,07/16/2020
183,Bahía Solano,6.23,-77.4,79.2,83,45,3.2,CO,07/16/2020
184,Novopokrovka,49.84,36.55,53.6,93,87,4.47,UA,07/16/2020
185,Lethem,3.38,-59.8,75.18,87,51,4.38,GY,07/16/2020
186,Forsytheganj,52.63,29.73,51.08,91,100,5.75,BY,07/16/2020
187,Dingle,11.0,122.67,84.42,75,98,7.18,PH,07/16/2020
188,Bereda,43.27,-7.54,57.0,97,87,10.0,ES,07/16/2020
189,Shinpokh,34.33,71.18,86.0,65,20,4.7,PK,07/16/2020
190,Laguna,38.42,-121.42,84.2,35,1,8.05,US,07/16/2020
191,Goianápolis,-16.51,-49.02,68.0,45,0,10.29,BR,07/16/2020
192,Marabu,4.41,114.01,84.2,79,20,3.36,MY,07/16/2020
193,Omboué,-1.57,9.26,71.92,87,99,1.81,GA,07/16/2020
194,Tilichiki,60.47,166.1,54.05,83,91,6.62,RU,07/16/2020
195,Coyhaique,-45.58,-72.07,35.6,93,90,3.36,CL,07/16/2020
196,Awjilah,29.11,21.29,73.85,52,0,8.03,LY,07/16/2020
197,Shangqiu,34.45,115.65,89.01,63,99,8.05,CN,07/16/2020
198,Provincia di Sassari,40.77,8.76,68.0,82,0,1.12,IT,07/16/2020
199,Turukhansk,65.82,87.98,49.62,95,100,11.03,RU,07/16/2020
200,Artesia,33.87,-118.08,75.2,64,1,13.87,US,07/16/2020
201,Russell,32.35,-85.2,73.4,94,1,2.48,US,07/16/2020
202,Beira,-19.84,34.84,62.42,68,13,16.22,MZ,07/16/2020
203,Leopold,-38.18,144.47,53.6,100,40,5.82,AU,07/16/2020
204,Tiarei,-17.53,-149.33,78.8,83,75,8.05,PF,07/16/2020
205,Alness,57.7,-4.26,57.99,87,75,12.75,GB,07/16/2020
206,Sānchor,24.76,71.77,88.95,67,99,5.97,IN,07/16/2020
207,Alofi,-19.06,-169.92,78.8,65,75,17.22,NU,07/16/2020
208,Eilat,29.56,34.95,74.89,62,0,7.7,IL,07/16/2020
209,Kruisfontein,-34.0,24.73,42.3,60,43,3.4,ZA,07/16/2020
210,Severo-Kuril'sk,50.68,156.12,53.85,85,91,7.07,RU,07/16/2020
211,Sinnamary,5.38,-52.95,78.26,84,11,9.4,GF,07/16/2020
212,Zhangye,38.93,100.45,76.12,41,100,8.34,CN,07/16/2020
213,Yatou,37.15,122.38,81.03,61,0,7.4,CN,07/16/2020
214,Karratha,-20.74,116.85,76.98,26,0,19.13,AU,07/16/2020
215,Andradina,-20.9,-51.38,70.25,64,4,11.48,BR,07/16/2020
216,Vardø,70.37,31.11,57.2,67,30,4.7,NO,07/16/2020
217,Dickinson,29.46,-95.05,84.99,78,20,13.87,US,07/16/2020
218,Jamestown,42.1,-79.24,73.4,60,1,3.36,US,07/16/2020
219,Guerrero Negro,27.98,-114.06,68.31,80,2,18.07,MX,07/16/2020
220,Arica,-18.48,-70.3,59.0,82,90,3.36,CL,07/16/2020
221,Ancud,-41.87,-73.82,48.99,100,90,6.93,CL,07/16/2020
222,Ust-Tsilma,65.44,52.15,51.82,66,100,6.22,RU,07/16/2020
223,Athabasca,54.72,-113.29,62.46,70,71,8.39,CA,07/16/2020
224,Laas,46.62,10.7,52.0,100,75,1.12,IT,07/16/2020
225,Sur,22.57,59.53,89.74,53,64,4.32,OM,07/16/2020
226,Mayumba,-3.43,10.66,69.84,88,96,6.2,GA,07/16/2020
227,Nagercoil,8.17,77.43,80.6,83,75,5.82,IN,07/16/2020
228,Lodja,-3.48,23.43,70.25,87,40,1.43,CD,07/16/2020
229,Xining,36.62,101.77,60.4,76,100,1.92,CN,07/16/2020
230,Cabedelo,-6.98,-34.83,75.4,85,7,12.59,BR,07/16/2020
231,Rocky Mountain House,52.37,-114.92,60.75,67,96,0.92,CA,07/16/2020
232,Pochutla,15.74,-96.47,75.79,89,99,3.83,MX,07/16/2020
233,Mildura,-34.2,142.15,59.0,47,0,6.93,AU,07/16/2020
234,Torbay,47.67,-52.73,50.0,100,90,18.34,CA,07/16/2020
235,Bathsheba,13.22,-59.52,82.4,74,40,13.87,BB,07/16/2020
236,Camaná,-16.62,-72.71,60.94,80,59,6.64,PE,07/16/2020
237,Kabinda,-6.13,24.48,70.5,40,83,3.15,CD,07/16/2020
238,Ngudu,-2.97,33.33,68.25,59,93,9.91,TZ,07/16/2020
239,Longhua,23.61,114.19,91.96,56,45,6.29,CN,07/16/2020
240,Waingapu,-9.66,120.26,81.37,60,49,14.25,ID,07/16/2020
241,Santa Marta,11.24,-74.2,80.01,87,84,14.32,CO,07/16/2020
242,Iralaya,15.0,-83.23,80.24,84,100,8.14,HN,07/16/2020
243,Kyra,49.58,111.98,74.93,63,98,2.19,RU,07/16/2020
244,Fairbanks,64.84,-147.72,71.6,40,40,11.41,US,07/16/2020
245,San Jerónimo,-11.95,-75.28,48.36,70,51,3.42,PE,07/16/2020
246,Aykhal,66.0,111.5,59.0,93,90,6.71,RU,07/16/2020
247,Bozeman,45.68,-111.04,78.8,29,1,9.17,US,07/16/2020
248,Ayna,-12.65,-73.92,60.67,76,95,0.09,PE,07/16/2020
249,Madang,-5.22,145.8,85.19,67,18,5.3,PG,07/16/2020
250,Nantucket,41.28,-70.1,64.0,82,1,9.17,US,07/16/2020
251,Río Gallegos,-51.62,-69.22,26.6,92,90,5.82,AR,07/16/2020
252,Hambantota,6.12,81.12,80.6,94,20,9.17,LK,07/16/2020
253,Goreloye,52.94,41.5,54.66,85,2,12.5,RU,07/16/2020
254,Ilulissat,69.22,-51.1,44.6,75,42,2.75,GL,07/16/2020
255,Arrondissement de Poitiers,46.58,0.33,62.6,77,90,4.7,FR,07/16/2020
256,Baykit,61.67,96.37,60.3,51,54,9.08,RU,07/16/2020
257,Malanje,-9.54,16.34,58.03,34,1,7.43,AO,07/16/2020
258,Vila Velha,-20.33,-40.29,69.01,100,90,10.29,BR,07/16/2020
259,Nikolskoye,59.7,30.79,59.0,77,88,8.95,RU,07/16/2020
260,Torrington,41.8,-73.12,66.99,94,60,4.56,US,07/16/2020
261,Gamba,-2.65,10.0,70.21,91,100,1.77,GA,07/16/2020
262,Valparaíso,-33.04,-71.63,48.2,93,40,3.36,CL,07/16/2020
263,Craig,40.52,-107.55,84.2,16,1,8.05,US,07/16/2020
264,Yerbogachën,61.28,108.01,57.99,69,88,10.36,RU,07/16/2020
265,Governador Valadares,-18.85,-41.95,67.1,85,69,4.43,BR,07/16/2020
266,Rio Grande,-32.03,-52.1,45.75,65,0,4.83,BR,07/16/2020
267,Pechenga,69.53,31.17,59.0,67,0,14.99,RU,07/16/2020
268,Puck,54.72,18.41,61.0,100,40,10.29,PL,07/16/2020
269,Lagunas,-5.23,-75.68,71.83,97,40,1.79,PE,07/16/2020
270,Oranjemund,-28.55,16.43,58.15,34,0,17.6,NA,07/16/2020
271,São Paulo de Olivença,-3.38,-68.87,74.55,79,100,0.78,BR,07/16/2020
272,Coquimbo,-29.95,-71.34,53.6,76,75,2.24,CL,07/16/2020
273,Itarema,-2.92,-39.92,76.98,85,67,12.86,BR,07/16/2020
274,Taltal,-25.4,-70.48,57.27,62,0,5.35,CL,07/16/2020
275,Padre Paraíso,-17.07,-41.48,62.42,95,98,6.87,BR,07/16/2020
276,Hasaki,35.73,140.83,73.99,83,75,6.93,JP,07/16/2020
277,Lompoc,34.64,-120.46,62.6,72,7,11.41,US,07/16/2020
278,Honningsvåg,70.98,25.97,50.0,93,63,2.24,NO,07/16/2020
279,Katangli,51.71,143.23,68.45,68,68,8.95,RU,07/16/2020
280,Alyangula,-13.85,136.42,82.4,37,0,9.17,AU,07/16/2020
281,Saint George,37.1,-113.58,100.4,10,1,12.75,US,07/16/2020
282,Havelock,34.88,-76.9,79.0,82,1,4.7,US,07/16/2020
283,Porto Franco,-6.34,-47.4,75.24,54,0,1.61,BR,07/16/2020
284,San Quintín,30.48,-115.95,67.03,82,0,15.95,MX,07/16/2020
285,Saint-Ambroise,48.55,-71.33,64.4,55,90,9.17,CA,07/16/2020
286,Verkhnechusovskiye Gorodki,58.17,57.11,76.23,65,0,4.92,RU,07/16/2020
287,Rawson,-43.3,-65.1,43.14,74,100,0.56,AR,07/16/2020
288,Ormara,25.21,64.64,84.76,77,89,7.7,PK,07/16/2020
289,Baruun-Urt,46.68,113.28,73.38,54,100,8.28,MN,07/16/2020
290,Gur'yevsk,54.28,85.93,64.89,63,62,8.59,RU,07/16/2020
291,San Ignacio,17.16,-89.07,80.01,78,4,3.94,BZ,07/16/2020
292,Moratuwa,6.77,79.88,84.2,89,20,4.7,LK,07/16/2020
293,Merauke,-8.47,140.33,80.35,79,46,19.53,ID,07/16/2020
294,Mossamedes,-15.2,12.15,64.4,68,0,5.55,AO,07/16/2020
295,Chui,-33.7,-53.46,40.95,75,0,4.09,UY,07/16/2020
296,Gewanē,10.17,40.65,79.88,58,96,18.61,ET,07/16/2020
297,Labuhan,-6.88,112.21,82.99,71,8,6.26,ID,07/16/2020
298,Olinda,-8.01,-34.86,77.0,78,40,5.82,BR,07/16/2020
299,Kavieng,-2.57,150.8,84.4,66,19,3.71,PG,07/16/2020
300,Benjamin Constant,-4.38,-70.03,77.0,100,40,0.49,BR,07/16/2020
301,Imbituba,-28.24,-48.67,51.8,93,40,2.24,BR,07/16/2020
302,Daru,-9.08,143.21,79.12,83,85,18.28,PG,07/16/2020
303,Lorengau,-2.02,147.27,85.66,62,1,6.53,PG,07/16/2020
304,Souillac,-20.52,57.52,68.0,88,75,2.24,MU,07/16/2020
305,Dolinsk,47.35,142.8,64.4,68,75,6.71,RU,07/16/2020
306,Saskylakh,71.92,114.08,62.55,37,96,18.72,RU,07/16/2020
307,Mahébourg,-20.41,57.7,68.0,88,75,2.24,MU,07/16/2020
308,Noblesville,40.05,-86.01,82.0,62,93,13.13,US,07/16/2020
309,Huadian,42.96,126.75,86.5,42,0,5.7,CN,07/16/2020
310,Timberlake,37.32,-79.26,80.6,65,1,3.36,US,07/16/2020
311,Galesong,-5.32,119.37,84.2,70,20,3.36,ID,07/16/2020
312,Trairi,-3.28,-39.27,77.04,82,98,8.72,BR,07/16/2020
313,Cockburn Town,21.46,-71.14,81.63,81,1,18.28,TC,07/16/2020
314,Deputatsky,69.3,139.9,43.72,62,96,10.29,RU,07/16/2020
315,Te Anau,-45.42,167.72,41.07,67,86,1.52,NZ,07/16/2020
316,Talnakh,69.49,88.4,50.0,87,75,8.95,RU,07/16/2020
317,Padang,-0.95,100.35,86.07,58,10,1.36,ID,07/16/2020
318,Puri,19.8,85.85,82.4,88,40,8.05,IN,07/16/2020
319,Bandarbeyla,9.49,50.81,82.15,59,7,29.71,SO,07/16/2020
320,Strezhevoy,60.73,77.59,71.6,73,8,6.71,RU,07/16/2020
321,Mount Gambier,-37.83,140.77,50.0,87,90,6.93,AU,07/16/2020
322,Nicoya,10.15,-85.45,74.23,91,100,2.37,CR,07/16/2020
323,Methóni,36.82,21.7,73.0,82,0,4.7,GR,07/16/2020
324,Mnogovershinnyy,53.94,139.92,77.5,55,83,4.52,RU,07/16/2020
325,Kilindoni,-7.91,39.67,75.6,74,100,32.06,TZ,07/16/2020
326,Maumere,-8.62,122.21,82.13,62,13,5.3,ID,07/16/2020
327,Sioux Lookout,50.1,-91.92,68.0,60,75,14.99,CA,07/16/2020
328,Bratsk,56.13,101.61,55.4,71,40,11.18,RU,07/16/2020
329,Kalat,29.02,66.59,75.74,41,0,3.53,PK,07/16/2020
330,Hyères,43.12,6.12,66.99,77,76,1.12,FR,07/16/2020
331,Yagodnoye,62.55,149.67,58.46,42,100,5.32,RU,07/16/2020
332,Kiruna,67.86,20.23,51.8,87,35,5.82,SE,07/16/2020
333,Corinth,37.94,22.96,72.0,60,0,1.01,GR,07/16/2020
334,Panama City,8.99,-79.52,82.4,83,3,5.82,PA,07/16/2020
335,Lüderitz,-26.65,15.16,71.6,12,0,21.92,NA,07/16/2020
336,Pisco,-13.7,-76.22,60.8,87,90,6.93,PE,07/16/2020
337,Zyryanka,65.75,150.85,50.58,56,99,12.15,RU,07/16/2020
338,Castelo do Piauí,-5.32,-41.55,79.75,50,100,1.97,BR,07/16/2020
339,Westport,41.14,-73.36,71.6,78,1,9.17,US,07/16/2020
340,Lagoa,39.05,-27.98,67.62,80,100,12.77,PT,07/16/2020
341,Akçakoca,41.09,31.12,66.2,81,46,3.49,TR,07/16/2020
342,Vega de Alatorre,20.03,-96.63,80.74,82,19,11.21,MX,07/16/2020
343,İslahiye,37.02,36.63,79.0,83,2,3.36,TR,07/16/2020
344,Quelimane,-17.88,36.89,68.0,77,75,9.17,MZ,07/16/2020
345,Sitka,57.05,-135.33,57.2,87,90,4.7,US,07/16/2020
346,Shumskiy,54.83,99.13,58.41,52,94,8.21,RU,07/16/2020
347,Eyl,7.98,49.82,81.64,59,56,25.75,SO,07/16/2020
348,Dunedin,-45.87,170.5,46.0,67,22,15.01,NZ,07/16/2020
349,Fuzhou,26.06,119.31,89.6,66,48,15.66,CN,07/16/2020
350,Tessalit,20.2,1.01,82.98,42,29,9.44,ML,07/16/2020
351,Kamaishi,39.27,141.88,66.2,82,75,1.12,JP,07/16/2020
352,Senanga,-16.12,23.27,50.47,45,0,9.64,ZM,07/16/2020
353,Invermere,50.52,-116.04,72.0,42,92,1.01,CA,07/16/2020
